Car_Name,Year,Selling_Price,Dist_Driven,Fuel_Type,Transmission,Owner
Maruti 800 AC,2014,3.35,27000,Petrol,Manual,Second
Maruti Wagon R LXI Minor,2013,4.75,43000,CNG,Manual,First
Hyundai Verna 1.6 SX,2017,7.25,6900,Petrol,Automatic,First
Datsun RediGO T Option,2011,2.85,5200,Petrol,Manual,Third
Honda Amaze VX i-DTEC,2014,4.6,42450,Diesel,Automatic,First
Maruti Alto LX BSIII,2018,9.25,2071,Diesel,Manual,First
Hyundai Xcent 1.2 Kappa S,2015,6.75,18796,Petrol,Manual,First
Tata Indigo Grand Petrol,2015,6.5,33429,CNG,Manual,Second
Hyundai Creta 1.6 VTVT S,2016,8.75,20273,Diesel,Automatic,First
Maruti Celerio Green VXI,2015,7.45,42367,Diesel,Manual,First
Chevrolet Sail 1.2 Base,2017,2.85,2135,Petrol,Manual,First
Tata Indigo Grand Petrol,2015,6.85,51000,Diesel,Manual,First
Toyota Corolla Altis 1.8 VL CVT,2015,7.5,15000,Petrol,Automatic,First
Maruti 800 AC,2015,6.1,26000,CNG,Manual,Second
Maruti Wagon R LXI Minor,2009,2.25,77427,Petrol,Manual,Second
Hyundai Verna 1.6 SX,2016,7.75,43000,Diesel,Automatic,First
Datsun RediGO T Option,2015,7.25,41678,Diesel,Manual,First
Honda Amaze VX i-DTEC,2016,7.75,43000,CNG,Automatic,First
Maruti Alto LX BSIII,2015,3.25,35500,CNG,Manual,First
Hyundai Xcent 1.2 Kappa S,2010,2.65,41442,Petrol,Manual,Third
Tata Indigo Grand Petrol,2016,2.85,25000,Petrol,Manual,Second
Hyundai Creta 1.6 VTVT S,2017,4.9,2400,Petrol,Manual,First
Maruti Celerio Green VXI,2011,4.4,50000,Diesel,Automatic,First
Chevrolet Sail 1.2 Base,2014,2.5,45280,Petrol,Manual,First
Tata Indigo Grand Petrol,2013,2.9,56879,Petrol,Manual,First
Toyota Corolla Altis 1.8 VL CVT,2011,3,20000,Petrol,Manual,First
Maruti Ciaz VXi Plus,2013,4.15,55138,CNG,Manual,First
Hyundai Venue SX Opt Diesel,2017,6,16200,Petrol,Manual,First
Chevrolet Enjoy TCDi LTZ 7 Seater,2010,1.95,44542,Petrol,Manual,First
Jaguar XF 2.2 Litre Luxury,2015,7.45,45000,Diesel,Manual,First
Mercedes-Benz New C-Class 220 CDI AT,2012,3.1,51439,Diesel,Automatic,Second
Maruti Vitara Brezza ZDi Plus AMT,2011,2.35,54200,Petrol,Manual,Third
Audi Q5 2.0 TDI,2014,4.95,39000,Diesel,Automatic,First
Honda City V MT,2014,6,45000,Diesel,Manual,First
Tata Tigor 1.2 Revotron XT,2014,5.5,45000,Diesel,Manual,First
Audi A6 2.0 TDI  Design Edition,2011,2.95,49998,CNG,Automatic,Second
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2015,4.65,48767,Petrol,Manual,First
Skoda Superb Ambition 2.0 TDI CR AT,2003,0.35,127000,Petrol,Manual,Third
Toyota Corolla Altis G AT,2016,3,10079,CNG,Manual,First
Toyota Innova 2.5 G (Diesel) 7 Seater,2003,2.25,62000,Petrol,Manual,First
Jeep Compass 1.4 Sport Plus BSIV,2016,5.85,24524,Petrol,Automatic,First
Mercedes-Benz E-Class E 200 CGI Elegance,2014,2.55,46706,Petrol,Manual,First
BMW 3 Series 320d Sport Line,2008,1.95,58000,Petrol,Manual,First
Audi Q7 35 TDI Quattro Premium,2014,5.5,45780,Diesel,Manual,First
Hyundai Elantra CRDi S,2012,1.25,50000,Petrol,Manual,First
Mahindra Scorpio 1.99 S10,2014,7.5,15000,Petrol,Automatic,First
Honda City i DTEC V,2013,2.65,64532,Petrol,Manual,First
Maruti Wagon R VXI BS IV with ABS,2006,1.05,65000,Petrol,Manual,First
Maruti Wagon R VXI BS IV,2015,5.8,25870,Petrol,Manual,First
Mahindra Scorpio LX,2017,7.75,37000,Petrol,Automatic,First
Hyundai Santro Xing GLS,2012,14.9,104707,Diesel,Automatic,First
Hyundai Grand i10 1.2 Kappa Asta,2015,23,40000,Diesel,Automatic,First
Maruti Alto LXi,2017,18,15000,Diesel,Automatic,First
Maruti Swift Dzire VDI Optional,2013,16,135000,Diesel,Automatic,First
Maruti Eeco 5 Seater AC BSIV,2005,2.75,90000,Petrol,Manual,First
Hyundai i20 Sportz 1.4 CRDi,2009,3.6,70000,Petrol,Automatic,First
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2015,4.5,40534,Petrol,Manual,First
Maruti Swift ZDi BSIV,2010,4.75,50000,Petrol,Manual,First
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,4.1,39485,Petrol,Manual,Second
Maruti Alto LXi,2014,19.99,41000,Diesel,Automatic,First
Mahindra Jeep CL 500 MDI,2013,6.95,40001,Petrol,Manual,First
Honda City i DTEC VX,2015,4.5,40588,Petrol,Manual,First
Maruti Wagon R VXI BS IV,2014,18.75,78000,Diesel,Automatic,First
Tata Indica DLS,2015,23.5,47000,Diesel,Automatic,First
Hyundai EON Magna Plus,2017,33,6000,Diesel,Automatic,First
Toyota Etios GD,2014,4.75,45000,Diesel,Manual,First
Maruti Alto LXi,2017,19.75,11000,Petrol,Automatic,First
Maruti Alto LXi,2010,9.25,59000,Diesel,Manual,First
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2011,4.35,88000,Petrol,Manual,First
Toyota Corolla Altis Diesel D4DG,2016,14.25,12000,Petrol,Manual,First
Mahindra Scorpio 1.99 S6 Plus,2014,3.95,71000,Diesel,Automatic,Third
Hyundai EON Magna Plus,2011,4.5,45000,Diesel,Manual,First
Tata Indigo Classic Dicor,2013,7.45,56001,Petrol,Manual,First
Toyota Innova 2.5 V Diesel 8-seater,2011,2.65,43000,Petrol,Manual,Third
Maruti Swift 1.3 VXi,2014,4.9,83000,Diesel,Automatic,First
Ford EcoSport 1.5 Diesel Titanium BSIV,2015,3.95,36000,Petrol,Manual,Third
Maruti Ciaz 1.3 Delta,2013,5.5,72000,Petrol,Manual,First
Honda Civic 1.8 V AT,2004,1.5,135154,Petrol,Automatic,Second
Hyundai i10 Sportz 1.2,2010,5.25,80000,Petrol,Automatic,First
Skoda Rapid 1.5 TDI Elegance,2012,14.5,89000,CNG,Automatic,First
Hyundai Getz GLS,2016,14.73,23000,Diesel,Manual,First
Nissan Terrano XL,2015,4.75,40000,Diesel,Manual,First
Hyundai Grand i10 CRDi Sportz,2017,23,15000,Diesel,Automatic,First
Hyundai Elite i20 Diesel Era,2015,12.5,38000,CNG,Manual,First
Honda Amaze S i-VTEC,2005,3.49,197176,Diesel,Manual,First
Honda Brio S MT,2006,2.5,142000,Petrol,Automatic,Third
Hyundai Creta 1.6 SX Option,2010,35,78000,Diesel,Manual,First
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2012,5.9,56000,CNG,Manual,Second
Mahindra XUV500 W8 2WD,2013,3.45,47000,Petrol,Manual,Third
Renault Duster 85PS Diesel RxL Optional,2014,4.75,40000,Petrol,Automatic,First
Hyundai Santro Xing XO,2009,3.8,62000,Petrol,Manual,First
Mahindra Bolero 2011-2019 SLE,2014,11.25,58242,Diesel,Manual,First
Audi A6 2.0 TDI Premium Plus,2005,3.51,75000,Petrol,Manual,Third
Fiat Avventura MULTIJET Emotion,2015,12,40000,Diesel,Automatic,First
Audi A8 4.2 TDI,2008,4,89000,Petrol,Automatic,Second
Datsun RediGO 1.0 S,2012,5.85,72000,Petrol,Manual,First
Volkswagen Jetta 1.4 TSI Comfortline,2016,20.75,29000,Diesel,Automatic,First
Audi A4 2.0 TDI 177 Bhp Premium Plus,2017,17,8700,Petrol,Manual,First
Honda Civic 1.8 V AT,2013,7.05,45000,Petrol,Manual,First
Mercedes-Benz E-Class Exclusive E 200 BSIV,2010,9.65,50024,Diesel,Manual,First
BMW X1 sDrive 20d xLine,2016,1.75,3000,Petrol,Manual,First
Volvo V40 D3 R Design,2017,1.7,1400,Petrol,Automatic,First
Maruti SX4 Zxi BSIII,2017,1.65,4000,Petrol,Manual,First
BMW 7 Series 730Ld,2017,1.45,1200,Petrol,Manual,First
Mahindra Bolero Power Plus SLX,2017,1.35,4100,Petrol,Manual,First
Hyundai Sonata CRDi M/T,2015,1.35,21700,Petrol,Automatic,First
Nissan Micra Active XV Petrol,2014,1.35,16500,Petrol,Manual,Second
Mahindra Xylo D4,2013,1.25,15000,Petrol,Manual,First
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2016,1.2,18000,Petrol,Manual,First
